-- ====================================================================
-- 8. 퀘스트 및 스테이지 진행도 마스터 셋업 (프롤로그 + 1~10막 총 155스테이지)
-- ====================================================================
INSERT INTO mst_stage (id, chapter_id, stage_num, title, story_before_id, story_after_id, monster_group_id, reward_gold, reward_exp) VALUES
(1, 0, 1, '타오르는 장원', 1, 0, 101, 120, 40),
(2, 0, 2, '혈교의 습격자', 0, 0, 102, 140, 50),
(3, 0, 3, '무너진 정문', 0, 2, 103, 160, 60),
(4, 0, 4, '피로 물든 길', 0, 0, 104, 180, 70),
(5, 0, 5, '혈교 선봉장', 3, 4, 105, 200, 80),
(6, 1, 1, '어둠의 태동 1장', 0, 0, 101, 370, 105),
(7, 1, 2, '어둠의 태동 2장', 0, 0, 102, 390, 110),
(8, 1, 3, '어둠의 태동 3장', 0, 0, 103, 410, 115),
(9, 1, 4, '어둠의 태동 4장', 0, 0, 104, 430, 120),
(10, 1, 5, '어둠의 태동 5장', 0, 0, 105, 450, 125),
(11, 1, 6, '어둠의 태동 6장', 0, 0, 106, 470, 130),
(12, 1, 7, '어둠의 태동 7장', 0, 0, 107, 490, 135),
(13, 1, 8, '어둠의 태동 8장', 0, 0, 108, 510, 140),
(14, 1, 9, '어둠의 태동 9장', 0, 0, 109, 530, 145),
(15, 1, 10, '어둠의 태동 10장', 0, 0, 110, 550, 150),
(16, 1, 11, '어둠의 태동 11장', 0, 0, 111, 570, 155),
(17, 1, 12, '어둠의 태동 12장', 0, 0, 112, 590, 160),
(18, 1, 13, '어둠의 태동 13장', 0, 0, 113, 610, 165),
(19, 1, 14, '어둠의 태동 14장', 0, 0, 114, 630, 170),
(20, 1, 15, '어둠의 태동 15장', 0, 0, 115, 650, 175),
(21, 2, 1, '고갯길의 복병 1장', 0, 0, 201, 520, 155),
(22, 2, 2, '고갯길의 복병 2장', 0, 0, 202, 540, 160),
(23, 2, 3, '고갯길의 복병 3장', 0, 0, 203, 560, 165),
(24, 2, 4, '고갯길의 복병 4장', 0, 0, 204, 580, 170),
(25, 2, 5, '고갯길의 복병 5장', 0, 0, 205, 600, 175),
(26, 2, 6, '고갯길의 복병 6장', 0, 0, 206, 620, 180),
(27, 2, 7, '고갯길의 복병 7장', 0, 0, 207, 640, 185),
(28, 2, 8, '고갯길의 복병 8장', 0, 0, 208, 660, 190),
(29, 2, 9, '고갯길의 복병 9장', 0, 0, 209, 680, 195),
(30, 2, 10, '고갯길의 복병 10장', 0, 0, 210, 700, 200),
(31, 2, 11, '고갯길의 복병 11장', 0, 0, 211, 720, 205),
(32, 2, 12, '고갯길의 복병 12장', 0, 0, 212, 740, 210),
(33, 2, 13, '고갯길의 복병 13장', 0, 0, 213, 760, 215),
(34, 2, 14, '고갯길의 복병 14장', 0, 0, 214, 780, 220),
(35, 2, 15, '고갯길의 복병 15장', 0, 0, 215, 800, 225),
(36, 3, 1, '연꽃의 정원 1장', 0, 0, 301, 670, 205),
(37, 3, 2, '연꽃의 정원 2장', 0, 0, 302, 690, 210),
(38, 3, 3, '연꽃의 정원 3장', 0, 0, 303, 710, 215),
(39, 3, 4, '연꽃의 정원 4장', 0, 0, 304, 730, 220),
(40, 3, 5, '연꽃의 정원 5장', 0, 0, 305, 750, 225),
(41, 3, 6, '연꽃의 정원 6장', 0, 0, 306, 770, 230),
(42, 3, 7, '연꽃의 정원 7장', 0, 0, 307, 790, 235),
(43, 3, 8, '연꽃의 정원 8장', 0, 0, 308, 810, 240),
(44, 3, 9, '연꽃의 정원 9장', 0, 0, 309, 830, 245),
(45, 3, 10, '연꽃의 정원 10장', 0, 0, 310, 850, 250),
(46, 3, 11, '연꽃의 정원 11장', 0, 0, 311, 870, 255),
(47, 3, 12, '연꽃의 정원 12장', 0, 0, 312, 890, 260),
(48, 3, 13, '연꽃의 정원 13장', 0, 0, 313, 910, 265),
(49, 3, 14, '연꽃의 정원 14장', 0, 0, 314, 930, 270),
(50, 3, 15, '연꽃의 정원 15장', 0, 0, 315, 950, 275),
(51, 4, 1, '얼어붙은 설산 1장', 0, 0, 401, 820, 255),
(52, 4, 2, '얼어붙은 설산 2장', 0, 0, 402, 840, 260),
(53, 4, 3, '얼어붙은 설산 3장', 0, 0, 403, 860, 265),
(54, 4, 4, '얼어붙은 설산 4장', 0, 0, 404, 880, 270),
(55, 4, 5, '얼어붙은 설산 5장', 0, 0, 405, 900, 275),
(56, 4, 6, '얼어붙은 설산 6장', 0, 0, 406, 920, 280),
(57, 4, 7, '얼어붙은 설산 7장', 0, 0, 407, 940, 285),
(58, 4, 8, '얼어붙은 설산 8장', 0, 0, 408, 960, 290),
(59, 4, 9, '얼어붙은 설산 9장', 0, 0, 409, 980, 295),
(60, 4, 10, '얼어붙은 설산 10장', 0, 0, 410, 1000, 300),
(61, 4, 11, '얼어붙은 설산 11장', 0, 0, 411, 1020, 305),
(62, 4, 12, '얼어붙은 설산 12장', 0, 0, 412, 1040, 310),
(63, 4, 13, '얼어붙은 설산 13장', 0, 0, 413, 1060, 315),
(64, 4, 14, '얼어붙은 설산 14장', 0, 0, 414, 1080, 320),
(65, 4, 15, '얼어붙은 설산 15장', 0, 0, 415, 1100, 325),
(66, 5, 1, '황량한 황야 1장', 0, 0, 501, 970, 305),
(67, 5, 2, '황량한 황야 2장', 0, 0, 502, 990, 310),
(68, 5, 3, '황량한 황야 3장', 0, 0, 503, 1010, 315),
(69, 5, 4, '황량한 황야 4장', 0, 0, 504, 1030, 320),
(70, 5, 5, '황량한 황야 5장', 0, 0, 505, 1050, 325),
(71, 5, 6, '황량한 황야 6장', 0, 0, 506, 1070, 330),
(72, 5, 7, '황량한 황야 7장', 0, 0, 507, 1090, 335),
(73, 5, 8, '황량한 황야 8장', 0, 0, 508, 1110, 340),
(74, 5, 9, '황량한 황야 9장', 0, 0, 509, 1130, 345),
(75, 5, 10, '황량한 황야 10장', 0, 0, 510, 1150, 350),
(76, 5, 11, '황량한 황야 11장', 0, 0, 511, 1170, 355),
(77, 5, 12, '황량한 황야 12장', 0, 0, 512, 1190, 360),
(78, 5, 13, '황량한 황야 13장', 0, 0, 513, 1210, 365),
(79, 5, 14, '황량한 황야 14장', 0, 0, 514, 1230, 370),
(80, 5, 15, '황량한 황야 15장', 0, 0, 515, 1250, 375),
(81, 6, 1, '지하의 혈투 1장', 0, 0, 601, 1120, 355),
(82, 6, 2, '지하의 혈투 2장', 0, 0, 602, 1140, 360),
(83, 6, 3, '지하의 혈투 3장', 0, 0, 603, 1160, 365),
(84, 6, 4, '지하의 혈투 4장', 0, 0, 604, 1180, 370),
(85, 6, 5, '지하의 혈투 5장', 0, 0, 605, 1200, 375),
(86, 6, 6, '지하의 혈투 6장', 0, 0, 606, 1220, 380),
(87, 6, 7, '지하의 혈투 7장', 0, 0, 607, 1240, 385),
(88, 6, 8, '지하의 혈투 8장', 0, 0, 608, 1260, 390),
(89, 6, 9, '지하의 혈투 9장', 0, 0, 609, 1280, 395),
(90, 6, 10, '지하의 혈투 10장', 0, 0, 610, 1300, 400),
(91, 6, 11, '지하의 혈투 11장', 0, 0, 611, 1320, 405),
(92, 6, 12, '지하의 혈투 12장', 0, 0, 612, 1340, 410),
(93, 6, 13, '지하의 혈투 13장', 0, 0, 613, 1360, 415),
(94, 6, 14, '지하의 혈투 14장', 0, 0, 614, 1380, 420),
(95, 6, 15, '지하의 혈투 15장', 0, 0, 615, 1400, 425),
(96, 7, 1, '천공의 검무 1장', 0, 0, 701, 1270, 405),
(97, 7, 2, '천공의 검무 2장', 0, 0, 702, 1290, 410),
(98, 7, 3, '천공의 검무 3장', 0, 0, 703, 1310, 415),
(99, 7, 4, '천공의 검무 4장', 0, 0, 704, 1330, 420),
(100, 7, 5, '천공의 검무 5장', 0, 0, 705, 1350, 425),
(101, 7, 6, '천공의 검무 6장', 0, 0, 706, 1370, 430),
(102, 7, 7, '천공의 검무 7장', 0, 0, 707, 1390, 435),
(103, 7, 8, '천공의 검무 8장', 0, 0, 708, 1410, 440),
(104, 7, 9, '천공의 검무 9장', 0, 0, 709, 1430, 445),
(105, 7, 10, '천공의 검무 10장', 0, 0, 710, 1450, 450),
(106, 7, 11, '천공의 검무 11장', 0, 0, 711, 1470, 455),
(107, 7, 12, '천공의 검무 12장', 0, 0, 712, 1490, 460),
(108, 7, 13, '천공의 검무 13장', 0, 0, 713, 1510, 465),
(109, 7, 14, '천공의 검무 14장', 0, 0, 714, 1530, 470),
(110, 7, 15, '천공의 검무 15장', 0, 0, 715, 1550, 475),
(111, 8, 1, '심연의 틈새 1장', 0, 0, 801, 1420, 455),
(112, 8, 2, '심연의 틈새 2장', 0, 0, 802, 1440, 460),
(113, 8, 3, '심연의 틈새 3장', 0, 0, 803, 1460, 465),
(114, 8, 4, '심연의 틈새 4장', 0, 0, 804, 1480, 470),
(115, 8, 5, '심연의 틈새 5장', 0, 0, 805, 1500, 475),
(116, 8, 6, '심연의 틈새 6장', 0, 0, 806, 1520, 480),
(117, 8, 7, '심연의 틈새 7장', 0, 0, 807, 1540, 485),
(118, 8, 8, '심연의 틈새 8장', 0, 0, 808, 1560, 490),
(119, 8, 9, '심연의 틈새 9장', 0, 0, 809, 1580, 495),
(120, 8, 10, '심연의 틈새 10장', 0, 0, 810, 1600, 500),
(121, 8, 11, '심연의 틈새 11장', 0, 0, 811, 1620, 505),
(122, 8, 12, '심연의 틈새 12장', 0, 0, 812, 1640, 510),
(123, 8, 13, '심연의 틈새 13장', 0, 0, 813, 1660, 515),
(124, 8, 14, '심연의 틈새 14장', 0, 0, 814, 1680, 520),
(125, 8, 15, '심연의 틈새 15장', 0, 0, 815, 1700, 525),
(126, 9, 1, '복수의 서막 1장', 0, 0, 901, 1570, 505),
(127, 9, 2, '복수의 서막 2장', 0, 0, 902, 1590, 510),
(128, 9, 3, '복수의 서막 3장', 0, 0, 903, 1610, 515),
(129, 9, 4, '복수의 서막 4장', 0, 0, 904, 1630, 520),
(130, 9, 5, '복수의 서막 5장', 0, 0, 905, 1650, 525),
(131, 9, 6, '복수의 서막 6장', 0, 0, 906, 1670, 530),
(132, 9, 7, '복수의 서막 7장', 0, 0, 907, 1690, 535),
(133, 9, 8, '복수의 서막 8장', 0, 0, 908, 1710, 540),
(134, 9, 9, '복수의 서막 9장', 0, 0, 909, 1730, 545),
(135, 9, 10, '복수의 서막 10장', 0, 0, 910, 1750, 550),
(136, 9, 11, '복수의 서막 11장', 0, 0, 911, 1770, 555),
(137, 9, 12, '복수의 서막 12장', 0, 0, 912, 1790, 560),
(138, 9, 13, '복수의 서막 13장', 0, 0, 913, 1810, 565),
(139, 9, 14, '복수의 서막 14장', 0, 0, 914, 1830, 570),
(140, 9, 15, '복수의 서막 15장', 0, 0, 915, 1850, 575),
(141, 10, 1, '천마의 종말 1장', 0, 0, 1001, 1720, 555),
(142, 10, 2, '천마의 종말 2장', 0, 0, 1002, 1740, 560),
(143, 10, 3, '천마의 종말 3장', 0, 0, 1003, 1760, 565),
(144, 10, 4, '천마의 종말 4장', 0, 0, 1004, 1780, 570),
(145, 10, 5, '천마의 종말 5장', 0, 0, 1005, 1800, 575),
(146, 10, 6, '천마의 종말 6장', 0, 0, 1006, 1820, 580),
(147, 10, 7, '천마의 종말 7장', 0, 0, 1007, 1840, 585),
(148, 10, 8, '천마의 종말 8장', 0, 0, 1008, 1860, 590),
(149, 10, 9, '천마의 종말 9장', 0, 0, 1009, 1880, 595),
(150, 10, 10, '천마의 종말 10장', 0, 0, 1010, 1900, 600),
