Unnamed: 0,등장인물,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,속성
,남궁,메인캐릭터,,서브,,,,,,,,
성별,,남,여,남,,남,,,,,,
이름,,남궁천,남궁설화,남궁선,,남궁현,,,,,,
나이,,16,16,56,,78,,,,,,
별호,,가문의 수치,금지옥엽,검신,,천검선,,,,,,
문파 or 세가,,남궁세가,남궁세가,남궁세가,,남궁세가,,,,,,
경지,,삼류,삼류,화경 (化境)(중),,현경(玄境)(초),,,,,,
성향,,정파,정파,정파,,정파,,,,,,
대표무공,,"배울예정(제황검형, 창궁대연신공)","배울예정 (빙백신검, 빙백신장)","제황검형(소실된 반쪽, 천뢰제왕신공)",,"천풍제왕검법, 제왕검형반쪽, 천뢰제왕신공",,,,,,
인게임스킬,,36계 줄랑랑 (버프): 자신의 행동 게이지를 30% 당기고 2턴간 방어력을 증가시킴. (게을러서 도망만 잘 침) 스킬 2 - 흙 뿌리기 (디버프): 적 눈가에 모래를 던져 소량의 피해를 주고 2턴간 [실명(명중률 50% 감소)] 상태로 만듬.,스킬 1 - 꺄악! 비명지르기 (디버프): 귀가 찢어질 듯한 비명을 질러 적 전체의 행동 게이지를 15% 감 소시킴. 스킬 2 - 짱돌 투척 (단일 공격): 적에게 돌을 던져 피해를 줌. 30% 확률로 기절(1턴) 발생.,"스킬 1 - 천뢰섬격 (天雷閃擊) (단일 공격/제어)

설명: 검에 푸른 뇌전을 둘러 적의 급소를 꿰뚫습니다. 대상에게 강력한 물리 피해를 주고 80% 확률로 1턴간 [감전(받는 피해 30% 증가 및 행동 불능)] 상태로 만듭니다.스킬 2 - 제황자색검 (帝皇紫索劍) (광역 공격/치명타)

설명: 소실된 반쪽짜리 제황검형의 투기를 사방으로 방출합니다. 적 전체에게 뇌전 피해를 주며, 대상의 이로운 효과(버프)를 1개 해제합니다. 이 공격은 치명타 확률이 25% 보정됩니다.",,"2. 남궁현 (남 / 78세 / 천검선) - 세계관 0티어 무속성 방관 딜러스킬 1 - 천풍무영검 (天風無影劍) (단일 공격/방어 관통)

설명: 바람처럼 형체 없는 검기를 날려 적을 베어냅니다. 진기(MP)를 소모하지 않으며, 적의 방어력을 50% 무시하고 피해를 줍니다.스킬 2 - 제황검형 극의 (帝皇劍形 極意) (광역 폭딜/디버프)

설명: 완전한 제황검형의 무형검기를 허공에 펼쳐 적들을 짓누릅니다. 적 전체에게 압도적인 피해를 주고, 2턴간 적들의 공격력을 40% 감소시키며 행동 게이지를 50% 밀어버립니다.",,,,,,
속성,,토 (土),수 (水),뇌,,무,,,,,,
포지션,,서브 탱커/디버퍼,서브 디버퍼,메인 물리 딜러 (치명타 특화 폭딜러),,메인 방관 딜러 (상대 방어력을 무시하는 세계관 0티어 대미지 딜러),,,,,,
캐릭터설명,,3형제중 막내로 아버지인 남궁선의 말을 뒤지게 듣지않고 수련을 하려고 스승을 붙여놔도 배우려는 의지가 없는 남궁세가의 하나뿐인 수치였다.,"아버지인 남궁선이 애지중지 하며 키운 금지옥엽의 딸이며, 무공을 배우고 싶은 의지는 있었지만 천마 신교가 처들어오기 전엔 평화로웠기에 배울 필요가없어 배우지 않았다.",,,,,,,,,
,팽가,서브,,,,,,,,,,
성별,,남,남,여,,,,,,,,
이름,,팽무독,팽백호,팽아린,,,,,,,,
나이,,56,71,20,,,,,,,,
별호,,폭렬천도(爆烈天도),광패도선 (狂覇刀仙),적련화도 (赤煉花刀),,,,,,,,
문파 or 세가,,하북팽가,하북팽가,하북팽가,,,,,,,,
경지,,화경 (化境)(중),초절정(극),초일류 (超一流),,,,,,,,
성향,,정파,정파,정파,,,,,,,,
대표무공,,"폭렬벽력도, 혼원벽력신공","도벽 태산 (刀壁泰山), 혼원벽력갑 (混元霹靂甲)","혼원벽력신공, 적련화도법",,,,,,,,
인게임스킬,,스킬 1 - 혼원폭렬참 (광역 공격): 도를 크게 휘둘러 적 전체에게 강력한 물리 피해를 주고 2턴간 [출혈]을 부여함.스킬 2 - 벽력일도 (단일 공격): 진기를 모아 적 하나를 내려찍음. 대상이 [출혈] 상태일 경우 데미지 50% 증폭.,스킬 1 - 철갑목우 소환 (소환/보호): 전방에 아군 대신 공격을 맞아주는 단단한 목우(체력 보유)를 소환함.스킬 2 - 폭뢰격발 (광역 공격): 적 전체 아래에 함정을 터뜨려 광역 피해를 주고 50% 확률로 2턴간 [속도 감소]를 걺.,스킬 1 - 적련 화산참 (단일 공격): 검붉은 도세로 적을 빠르게 베어 2턴간 [화상] 상태로 만듬.,,,,,,,,
속성,,화 (火) (검붉은 불꽃을 휘두르는 적련화도법),토 (土) (태산처럼 우직하게 아군을 지키는 흙의 기운),화 (火) (검붉은 불꽃을 휘두르는 적련화도법),,,,,,,,
포지션,,광역 물리 딜러 (출혈 중심의 지속 광역 딜러),메인 탱커 (적 도발 및 아군 전체 보호막 부여),단일 속도 딜러 (자가 버프 후 빠르게 적을 베어 넘기는 누커),,,,,,,,
캐릭터설명,,,,,,,,,,,,
,제갈,서브,,,,,,,,,,
성별,,남,여,,,,,,,,,
이름,,제갈현,제갈령,,,,,,,,,
나이,,52,21,,,,,,,,,
별호,,신기묘산 (神機妙算) - 하늘의 계산마저 꿰뚫는 자,천기목우 (天機木偶),,,,,,,,,
문파 or 세가,,제갈세가,제갈세가,,,,,,,,,
경지,,화경 (化境),초일류 (超一流),,,,,,,,,
성향,,정파,정파,,,,,,,,,
대표무공,,천지팔진도 (天地八陣圖),기문기관술 (奇門機關術),,,,,,,,,
